website,loc,lastmod,cured_name
GuyInACube,https://www.youtube.com/watch?v=k-4Oud9jkuw,2023 03 09,Dataset permissions required for App report in Power BI? What am I missing??? (Re-Upload)
GuyInACube,https://www.youtube.com/watch?v=YOWxvT5XLoc,2023 03 08,The POWER of Microsoft Lists and Power BI
GuyInACube,https://www.youtube.com/watch?v=9SprbLQpW8I,2023 03 07,Start Learning T-SQL for Azure Database and Azure Synapse
GuyInACube,https://www.youtube.com/watch?v=leT_dkXwE1c,2023 03 02,The MAGIC of Microsoft Teams + Power BI
GuyInACube,https://www.youtube.com/watch?v=w_rSlWELBNk,2023 03 01,Getting Crazy with the Power Query UI
GuyInACube,https://www.youtube.com/watch?v=Pdbc_Q7pnD8,2023 02 23,Different ways to work with Microsoft Excel in Power BI (2023)
GuyInACube,https://www.youtube.com/watch?v=6RzC1P_1Elg,2023 02 22,How to get a CLOCK in your Power BI Report
GuyInACube,https://www.youtube.com/watch?v=KrsNwegpqlk,2023 02 21,Checking out the Window Clause in Azure SQL and SQL Server 2022
GuyInACube,https://www.youtube.com/watch?v=zI4MV2vNVxY,2023 02 18,"REPLAY Power BI tips from the Pros - LIVE (Feb 18, 2023)"
GuyInACube,https://www.youtube.com/watch?v=58rLq8MF2mc,2023 02 15,Publish/Migrate your RDL files from Power BI Report Server to the service
GuyInACube,https://www.youtube.com/watch?v=6KG-LogdI9g,2023 02 14,Provide data lake access with Azure Synapse Analytics
GuyInACube,https://www.youtube.com/watch?v=XPuGOZdxX5s,2023 02 11,"REPLAY Power BI tips from the Pros - LIVE (Feb 11, 2023)"
GuyInACube,https://www.youtube.com/watch?v=cqqyAy5Cemc,2023 02 10,An Ode to a Pie Chart by ChatGPT
GuyInACube,https://www.youtube.com/watch?v=wd2c1sjTENQ,2023 02 09,Guy in a Cube answers the web&#39;s most searched questions on Power BI
GuyInACube,https://www.youtube.com/watch?v=WXpxNpnE3D4,2023 02 08,Time to look at the new INDEX function in DAX and Power BI
GuyInACube,https://www.youtube.com/watch?v=ZKvpiOnwAK4,2023 02 07,Continuing the T-SQL journey with OVER and RANK
GuyInACube,https://www.youtube.com/watch?v=i27vHCVsHp4,2023 02 04,"REPLAY Power BI tips from the Pros - LIVE (Feb 4, 2023)"
GuyInACube,https://www.youtube.com/watch?v=3SKSBRFMIoM,2023 02 02,Let&#39;s see if ChatGPT knows what&#39;s coming next for Power BI...
GuyInACube,https://www.youtube.com/watch?v=-KXDpi_wyD4,2023 02 01,Calling a Stored Procedure using Incremental Refresh in Power BI? We think so!
GuyInACube,https://www.youtube.com/watch?v=ayV1r2vFYnI,2023 01 31,Ready to be a Kusto Detective with Azure Data Explorer?
GuyInACube,https://www.youtube.com/watch?v=vT83hHmX-VM,2023 01 28,"REPLAY Power BI tips from the Pros - LIVE (Jan 28, 2023)"
GuyInACube,https://www.youtube.com/watch?v=WQGS48ZcdbE,2023 01 26,What do you want to see from Guy in a Cube? - Channel Update
GuyInACube,https://www.youtube.com/watch?v=nMSuWbKUvAY,2023 01 25,What happens when you miss a refresh day with Power BI Incremental Refresh?
GuyInACube,https://www.youtube.com/watch?v=WgH2Wg_EUNg,2023 01 24,What the French Toast is a Slowly Changing Dimension???
GuyInACube,https://www.youtube.com/watch?v=GzblE9HjouE,2023 01 21,"REPLAY Power BI tips from the Pros - LIVE (Jan 21, 2023)"
